NSE,MCAP (in Rs. cr),Last Available Sales (in Rs. cr),Last Available Net Profit (in Rs. cr),Last Available EPS (in Rs.),URL
THEJO,NaN,277,29,27.45,https://www.screener.in/company/THEJO/
TIMESCAN,41.9,100,1,2,700.00,https://www.screener.in/company/TIMESCAN/
TRANSWIND,5.89,6.92,-0.92,-1.38,https://www.screener.in/company/TRANSWIND/
UWCSL,48.8,29.46,1.50,2.88,https://www.screener.in/company/UWCSL/
USASEEDS,530.0,62.59,0.85,4.31,https://www.screener.in/company/USASEEDS/
URAVI,187.0,31.34,0.73,0.66,https://www.screener.in/company/URAVI/
UCL,71.0,35.16,2.43,3.33,https://www.screener.in/company/UCL/
VMARCIND,115.0,179,5,2.19,https://www.screener.in/company/VMARCIND/
VSCL,46.9,26.47,-2.76,-2.16,https://www.screener.in/company/VSCL/
MADHAVBAUG,219.0,74.24,3.47,3.30,https://www.screener.in/company/MADHAVBAUG/
CLOUD,NaN,3.75,1.42,4.87,https://www.screener.in/company/CLOUD/
VEEKAYEM,24.7,77,0,0.72,https://www.screener.in/company/VEEKAYEM/
VITAL,261.0,57.61,6.71,9.98,https://www.screener.in/company/VITAL/
VIVIANA,62.5,22.53,0.99,43.04,https://www.screener.in/company/VIVIANA/
VIVO,24.2,14.87,3.19,21.57,https://www.screener.in/company/VIVO/
WALPAR,30.0,26.76,0.42,0.92,https://www.screener.in/company/WALPAR/
